category_id,product_name,sku,qty,price,discount_percentage,brand ,size,status ,contact,color,bike ,car,van,weight(kg),height(cm),width(cm),length(cm),product_image
29,Faithfull - TCT Circular Saw Blade 190 x 30mm x 24T POS,3700167340106,0,23.64,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/faithfull-tct-circular-saw-blade-190-x-30mm-x-24t-pos~5023969216416_01c_MP?wid=284&hei=284
29,DEWALT - HSS Metal Cutting Jigsaw Blades Pack of 5 T118EOF,3690352040584,0,23.19,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-hss-metal-cutting-jigsaw-blades-pack-of-5-t118eof~5035048060933_01c_MP?wid=284&hei=284
29,Evolution - Thin Steel Cutting Mitre Saw Blade 185 x 25.4mm x 68T,3680536741062,0,68.66,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/evolution-thin-steel-cutting-mitre-saw-blade-185-x-25-4mm-x-68t~0849713090850_01c_MP?wid=284&hei=284
29,PACK 10 MAKITA GBP01Z BI-METAL BANDSAW BLADES 8/11 TPI,3670721441540,0,92.99,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/pack-10-makita-gbp01z-bi-metal-bandsaw-blades-8-11-tpi~7421122173008_01c_MP?wid=284&hei=284
29,IRWIN - Construction Mitre Circular Saw Blade 216 x 30mm x 60T ATB/Neg,3660906142018,0,88.04,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/irwin-construction-mitre-circular-saw-blade-216-x-30mm-x-60t-atb-neg~5706918973973_01c_MP?wid=284&hei=284
29,IRWIN - Weldtec Cordless Circular Saw Blade 165 x 20mm x 40T ATB,3651090842496,0,46.83,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/irwin-weldtec-cordless-circular-saw-blade-165-x-20mm-x-40t-atb~5706918973942_01c_MP?wid=284&hei=284
29,IRWIN - Multi Material Circular Saw Blade 216 x 30mm x 84T TCG,3641275542974,0,117.56,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/irwin-multi-material-circular-saw-blade-216-x-30mm-x-84t-tcg~5706918974420_01c_MP?wid=284&hei=284
29,"Starrett - B414-5 Bi-Metal Reciprocating Blade, Metal Straight 100mm 14 TPI (Pack 5)",3631460243452,0,12.49,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/starrett-b414-5-bi-metal-reciprocating-blade-metal-straight-100mm-14-tpi-pack-5-~7891265153197_01c_MP?wid=284&hei=284
29,IRWIN - Jigsaw Blades Metal & Wood Cutting Pack of 5 T345XF,3621644943930,0,23.14,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/irwin-jigsaw-blades-metal-wood-cutting-pack-of-5-t345xf~5706915042320_01c_MP?wid=284&hei=284
29,2400 x 12 x 0.6mm Bandsaw Blade Hardened Steel Teeth 14 TPI Wood Plastic Metal,3611829644408,0,35.99,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/2400-x-12-x-0-6mm-bandsaw-blade-hardened-steel-teeth-14-tpi-wood-plastic-metal~5056581919953_01c_MP?wid=284&hei=284
29,Trend - CraftPro Cordless Saw Blade 165 x 20mm x 24T/40T (Pack 3),3602014344886,0,52.19,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/trend-craftpro-cordless-saw-blade-165-x-20mm-x-24t-40t-pack-3-~5027654062562_01c_MP?wid=284&hei=284
29,Faithfull - TCT Circular Saw Blade Zero Degree 250 x 30mm x 80T,3592199045364,0,60.15,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/faithfull-tct-circular-saw-blade-zero-degree-250-x-30mm-x-80t~5023969216478_01c_MP?wid=284&hei=284
